x,z,elevation
280.61,-1198.98,97.24
331.63,-1198.98,97.57
382.65,-1198.98,97.86
433.67,-1198.98,98.11
484.69,-1198.98,98.32
535.71,-1198.98,98.48
586.73,-1198.98,98.59
637.76,-1198.98,98.66
688.78,-1198.98,98.68
739.8,-1198.98,98.65
790.82,-1198.98,98.57
841.84,-1198.98,98.45
892.86,-1198.98,98.28
943.88,-1198.98,98.08
994.9,-1198.98,97.85
1045.92,-1198.98,97.58
1096.94,-1198.98,97.29
1147.96,-1198.98,96.98
1198.98,-1198.98,96.65
1250.0,-1198.98,96.32
-1250.0,-1147.96,93.89
-1198.98,-1147.96,93.56
-1147.96,-1147.96,93.24
-1096.94,-1147.96,92.93
-1045.92,-1147.96,92.64
-994.9,-1147.96,92.37
-943.88,-1147.96,92.13
-892.86,-1147.96,91.93
-841.84,-1147.96,91.77
-790.82,-1147.96,91.64
-739.8,-1147.96,91.57
-688.78,-1147.96,91.54
-637.76,-1147.96,91.55
-586.73,-1147.96,91.62
-535.71,-1147.96,91.74
-484.69,-1147.96,91.9
-433.67,-1147.96,92.11
-382.65,-1147.96,92.36
-331.63,-1147.96,92.65
-280.61,-1147.96,92.97
-229.59,-1147.96,93.33
-178.57,-1147.96,93.72
-127.55,-1147.96,94.12
-76.53,-1147.96,94.54
-25.51,-1147.96,94.97
25.51,-1147.96,95.41
76.53,-1147.96,95.84
127.55,-1147.96,96.26
178.57,-1147.96,96.66
229.59,-1147.96,97.05
280.61,-1147.96,97.41
331.63,-1147.96,97.73
382.65,-1147.96,98.03
433.67,-1147.96,98.28
484.69,-1147.96,98.48
535.71,-1147.96,98.65
586.73,-1147.96,98.76
637.76,-1147.96,98.83
688.78,-1147.96,98.85
739.8,-1147.96,98.81
790.82,-1147.96,98.74
841.84,-1147.96,98.62
892.86,-1147.96,98.45
943.88,-1147.96,98.25
994.9,-1147.96,98.01
1045.92,-1147.96,97.75
1096.94,-1147.96,97.45
1147.96,-1147.96,97.14
1198.98,-1147.96,96.82
1250.0,-1147.96,96.49
-1250.0,-1096.94,94.08
-1198.98,-1096.94,93.75
-1147.96,-1096.94,93.43
-1096.94,-1096.94,93.12
-1045.92,-1096.94,92.82
-994.9,-1096.94,92.56
-943.88,-1096.94,92.32
-892.86,-1096.94,92.12
-841.84,-1096.94,91.95
-790.82,-1096.94,91.83
-739.8,-1096.94,91.75
-688.78,-1096.94,91.72
-637.76,-1096.94,91.74
-586.73,-1096.94,91.81
-535.71,-1096.94,91.92
-484.69,-1096.94,92.09
-433.67,-1096.94,92.29
-382.65,-1096.94,92.54
-331.63,-1096.94,92.83
-280.61,-1096.94,93.16
-229.59,-1096.94,93.52
-178.57,-1096.94,93.9
-127.55,-1096.94,94.31
-76.53,-1096.94,94.73
-25.51,-1096.94,95.16
25.51,-1096.94,95.6
76.53,-1096.94,96.03
127.55,-1096.94,96.45
178.57,-1096.94,96.85
229.59,-1096.94,97.24
280.61,-1096.94,97.6
331.63,-1096.94,97.92
382.65,-1096.94,98.21
433.67,-1096.94,98.46
484.69,-1096.94,98.67
535.71,-1096.94,98.83
586.73,-1096.94,98.95
637.76,-1096.94,99.02
688.78,-1096.94,99.03
739.8,-1096.94,99.0
790.82,-1096.94,98.93
841.84,-1096.94,98.8
892.86,-1096.94,98.64
943.88,-1096.94,98.44
994.9,-1096.94,98.2
1045.92,-1096.94,97.93
1096.94,-1096.94,97.64
1147.96,-1096.94,97.33
1198.98,-1096.94,97.01
1250.0,-1096.94,96.68
-1250.0,-1045.92,94.29
-1198.98,-1045.92,93.96
-1147.96,-1045.92,93.63
-1096.94,-1045.92,93.32
-1045.92,-1045.92,93.03
-994.9,-1045.92,92.76
-943.88,-1045.92,92.53
-892.86,-1045.92,92.33
-841.84,-1045.92,92.16
-790.82,-1045.92,92.04
-739.8,-1045.92,91.96
-688.78,-1045.92,91.93
-637.76,-1045.92,91.95
-586.73,-1045.92,92.02
-535.71,-1045.92,92.13
-484.69,-1045.92,92.29
-433.67,-1045.92,92.5
-382.65,-1045.92,92.75
-331.63,-1045.92,93.04
-280.61,-1045.92,93.37
-229.59,-1045.92,93.73
-178.57,-1045.92,94.11
-127.55,-1045.92,94.52
-76.53,-1045.92,94.94
-25.51,-1045.92,95.37
25.51,-1045.92,95.8
76.53,-1045.92,96.23
127.55,-1045.92,96.65
178.57,-1045.92,97.06
229.59,-1045.92,97.44
280.61,-1045.92,97.8
331.63,-1045.92,98.13
382.65,-1045.92,98.42
433.67,-1045.92,98.67
484.69,-1045.92,98.88
535.71,-1045.92,99.04
586.73,-1045.92,99.16
637.76,-1045.92,99.22
688.78,-1045.92,99.24
739.8,-1045.92,99.21
790.82,-1045.92,99.13
841.84,-1045.92,99.01
892.86,-1045.92,98.85
943.88,-1045.92,98.64
994.9,-1045.92,98.41
1045.92,-1045.92,98.14
1096.94,-1045.92,97.85
1147.96,-1045.92,97.54
1198.98,-1045.92,97.22
1250.0,-1045.92,96.89
-1250.0,-994.9,94.51
-1198.98,-994.9,94.18
-1147.96,-994.9,93.86
-1096.94,-994.9,93.55
-1045.92,-994.9,93.26
-994.9,-994.9,92.99
-943.88,-994.9,92.75
-892.86,-994.9,92.55
-841.84,-994.9,92.39
-790.82,-994.9,92.26
-739.8,-994.9,92.19
-688.78,-994.9,92.16
-637.76,-994.9,92.17
-586.73,-994.9,92.24
-535.71,-994.9,92.35
-484.69,-994.9,92.52
-433.67,-994.9,92.73
-382.65,-994.9,92.98
-331.63,-994.9,93.27
-280.61,-994.9,93.59
-229.59,-994.9,93.95
-178.57,-994.9,94.34
-127.55,-994.9,94.74
-76.53,-994.9,95.16
-25.51,-994.9,95.59
25.51,-994.9,96.03
76.53,-994.9,96.46
127.55,-994.9,96.88
178.57,-994.9,97.28
229.59,-994.9,97.67
280.61,-994.9,98.03
331.63,-994.9,98.35
382.65,-994.9,98.64
433.67,-994.9,98.9
484.69,-994.9,99.1
535.71,-994.9,99.27
586.73,-994.9,99.38
637.76,-994.9,99.45
688.78,-994.9,99.47
739.8,-994.9,99.43
790.82,-994.9,99.36
841.84,-994.9,99.24
892.86,-994.9,99.07
943.88,-994.9,98.87
994.9,-994.9,98.63
1045.92,-994.9,98.36
1096.94,-994.9,98.07
1147.96,-994.9,97.76
1198.98,-994.9,97.44
1250.0,-994.9,97.11
-1250.0,-943.88,94.75
-1198.98,-943.88,94.42
-1147.96,-943.88,94.1
-1096.94,-943.88,93.79
-1045.92,-943.88,93.5
-994.9,-943.88,93.23
-943.88,-943.88,92.99
-892.86,-943.88,92.79
-841.84,-943.88,92.63
-790.82,-943.88,92.5
-739.8,-943.88,92.43
-688.78,-943.88,92.4
-637.76,-943.88,92.41
-586.73,-943.88,92.48
-535.71,-943.88,92.6
-484.69,-943.88,92.76
-433.67,-943.88,92.97
-382.65,-943.88,93.22
-331.63,-943.88,93.51
-280.61,-943.88,93.83
-229.59,-943.88,94.19
-178.57,-943.88,94.58
-127.55,-943.88,94.98
-76.53,-943.88,95.4
-25.51,-943.88,95.83
25.51,-943.88,96.27
76.53,-943.88,96.7
127.55,-943.88,97.12
178.57,-943.88,97.52
229.59,-943.88,97.91
280.61,-943.88,98.27
331.63,-943.88,98.59
382.65,-943.88,98.89
433.67,-943.88,99.14
484.69,-943.88,99.34
535.71,-943.88,99.51
586.73,-943.88,99.62
637.76,-943.88,99.69
688.78,-943.88,99.71
739.8,-943.88,99.67
790.82,-943.88,99.6
841.84,-943.88,99.48
892.86,-943.88,99.31
943.88,-943.88,99.11
994.9,-943.88,98.87
1045.92,-943.88,98.6
1096.94,-943.88,98.31
1147.96,-943.88,98.0
1198.98,-943.88,97.68
1250.0,-943.88,97.35
-1250.0,-892.86,95.0
-1198.98,-892.86,94.67
-1147.96,-892.86,94.35
-1096.94,-892.86,94.04
-1045.92,-892.86,93.75
-994.9,-892.86,93.48
-943.88,-892.86,93.25
-892.86,-892.86,93.04
-841.84,-892.86,92.88
-790.82,-892.86,92.76
-739.8,-892.86,92.68
-688.78,-892.86,92.65
-637.76,-892.86,92.67
-586.73,-892.86,92.73
-535.71,-892.86,92.85
-484.69,-892.86,93.01
-433.67,-892.86,93.22
-382.65,-892.86,93.47
-331.63,-892.86,93.76
-280.61,-892.86,94.09
-229.59,-892.86,94.45
-178.57,-892.86,94.83
-127.55,-892.86,95.24
-76.53,-892.86,95.66
-25.51,-892.86,96.09
25.51,-892.86,96.52
76.53,-892.86,96.95
127.55,-892.86,97.37
178.57,-892.86,97.78
229.59,-892.86,98.16
280.61,-892.86,98.52
331.63,-892.86,98.85
382.65,-892.86,99.14
433.67,-892.86,99.39
484.69,-892.86,99.6
535.71,-892.86,99.76
586.73,-892.86,99.87
637.76,-892.86,99.94
688.78,-892.86,99.96
739.8,-892.86,99.93
790.82,-892.86,99.85
841.84,-892.86,99.73
892.86,-892.86,99.56
943.88,-892.86,99.36
994.9,-892.86,99.12
1045.92,-892.86,98.86
1096.94,-892.86,98.57
1147.96,-892.86,98.26
1198.98,-892.86,97.93
1250.0,-892.86,97.6
-1250.0,-841.84,95.27
-1198.98,-841.84,94.94
-1147.96,-841.84,94.61
-1096.94,-841.84,94.3
-1045.92,-841.84,94.01
-994.9,-841.84,93.75
-943.88,-841.84,93.51
-892.86,-841.84,93.31
-841.84,-841.84,93.14
-790.82,-841.84,93.02
-739.8,-841.84,92.94
-688.78,-841.84,92.91
-637.76,-841.84,92.93
-586.73,-841.84,93.0
-535.71,-841.84,93.11
-484.69,-841.84,93.27
-433.67,-841.84,93.48
-382.65,-841.84,93.73
-331.63,-841.84,94.02
-280.61,-841.84,94.35
-229.59,-841.84,94.71
-178.57,-841.84,95.09
-127.55,-841.84,95.5
-76.53,-841.84,95.92
-25.51,-841.84,96.35
25.51,-841.84,96.78
76.53,-841.84,97.21
127.55,-841.84,97.64
178.57,-841.84,98.04
229.59,-841.84,98.43
280.61,-841.84,98.78
331.63,-841.84,99.11
382.65,-841.84,99.4
433.67,-841.84,99.65
484.69,-841.84,99.86
535.71,-841.84,100.02
586.73,-841.84,100.14
637.76,-841.84,100.2
688.78,-841.84,100.22
739.8,-841.84,100.19
790.82,-841.84,100.11
841.84,-841.84,99.99
892.86,-841.84,99.83
943.88,-841.84,99.62
994.9,-841.84,99.39
1045.92,-841.84,99.12
1096.94,-841.84,98.83
1147.96,-841.84,98.52
1198.98,-841.84,98.2
1250.0,-841.84,97.87
-1250.0,-790.82,95.54
-1198.98,-790.82,95.21
-1147.96,-790.82,94.89
-1096.94,-790.82,94.58
-1045.92,-790.82,94.28
-994.9,-790.82,94.02
-943.88,-790.82,93.78
-892.86,-790.82,93.58
-841.84,-790.82,93.41
-790.82,-790.82,93.29
-739.8,-790.82,93.21
-688.78,-790.82,93.18
-637.76,-790.82,93.2
-586.73,-790.82,93.27
-535.71,-790.82,93.38
-484.69,-790.82,93.54
-433.67,-790.82,93.75
-382.65,-790.82,94.0
-331.63,-790.82,94.29
-280.61,-790.82,94.62
-229.59,-790.82,94.98
-178.57,-790.82,95.36
-127.55,-790.82,95.77
-76.53,-790.82,96.19
-25.51,-790.82,96.62
25.51,-790.82,97.05
76.53,-790.82,97.49
127.55,-790.82,97.91
178.57,-790.82,98.31
229.59,-790.82,98.7
280.61,-790.82,99.05
331.63,-790.82,99.38
382.65,-790.82,99.67
433.67,-790.82,99.92
484.69,-790.82,100.13
535.71,-790.82,100.29
586.73,-790.82,100.41
637.76,-790.82,100.48
688.78,-790.82,100.49
739.8,-790.82,100.46
790.82,-790.82,100.38
841.84,-790.82,100.26
892.86,-790.82,100.1
943.88,-790.82,99.9
994.9,-790.82,99.66
1045.92,-790.82,99.39
1096.94,-790.82,99.1
1147.96,-790.82,98.79
1198.98,-790.82,98.47
1250.0,-790.82,98.14
-1250.0,-739.8,95.81
-1198.98,-739.8,95.48
-1147.96,-739.8,95.16
-1096.94,-739.8,94.85
-1045.92,-739.8,94.56
-994.9,-739.8,94.29
-943.88,-739.8,94.06
-892.86,-739.8,93.85
-841.84,-739.8,93.69
-790.82,-739.8,93.57
-739.8,-739.8,93.49
-688.78,-739.8,93.46
-637.76,-739.8,93.48
-586.73,-739.8,93.54
-535.71,-739.8,93.66
-484.69,-739.8,93.82
-433.67,-739.8,94.03
-382.65,-739.8,94.28
-331.63,-739.8,94.57
-280.61,-739.8,94.9
-229.59,-739.8,95.26
-178.57,-739.8,95.64
-127.55,-739.8,96.05
-76.53,-739.8,96.47
-25.51,-739.8,96.9
25.51,-739.8,97.33
76.53,-739.8,97.76
127.55,-739.8,98.18
178.57,-739.8,98.59
229.59,-739.8,98.97
280.61,-739.8,99.33
331.63,-739.8,99.66
382.65,-739.8,99.95
433.67,-739.8,100.2
484.69,-739.8,100.41
535.71,-739.8,100.57
586.73,-739.8,100.68
637.76,-739.8,100.75
688.78,-739.8,100.77
739.8,-739.8,100.74
790.82,-739.8,100.66
841.84,-739.8,100.54
892.86,-739.8,100.37
943.88,-739.8,100.17
994.9,-739.8,99.93
1045.92,-739.8,99.67
1096.94,-739.8,99.38
1147.96,-739.8,99.07
1198.98,-739.8,98.74
1250.0,-739.8,98.41
-1250.0,-688.78,96.09
-1198.98,-688.78,95.76
-1147.96,-688.78,95.44
-1096.94,-688.78,95.13
-1045.92,-688.78,94.84
-994.9,-688.78,94.57
-943.88,-688.78,94.33
-892.86,-688.78,94.13
-841.84,-688.78,93.97
-790.82,-688.78,93.84
-739.8,-688.78,93.77
-688.78,-688.78,93.74
-637.76,-688.78,93.75
-586.73,-688.78,93.82
-535.71,-688.78,93.94
-484.69,-688.78,94.1
-433.67,-688.78,94.31
-382.65,-688.78,94.56
-331.63,-688.78,94.85
-280.61,-688.78,95.17
-229.59,-688.78,95.53
-178.57,-688.78,95.92
-127.55,-688.78,96.32
-76.53,-688.78,96.74
-25.51,-688.78,97.17
25.51,-688.78,97.61
76.53,-688.78,98.04
127.55,-688.78,98.46
178.57,-688.78,98.87
229.59,-688.78,99.25
280.61,-688.78,99.61
331.63,-688.78,99.94
382.65,-688.78,100.23
433.67,-688.78,100.48
484.69,-688.78,100.68
535.71,-688.78,100.85
586.73,-688.78,100.96
637.76,-688.78,101.03
688.78,-688.78,101.05
739.8,-688.78,101.02
790.82,-688.78,100.94
841.84,-688.78,100.82
892.86,-688.78,100.65
943.88,-688.78,100.45
994.9,-688.78,100.21
1045.92,-688.78,99.95
1096.94,-688.78,99.65
1147.96,-688.78,99.34
1198.98,-688.78,99.02
1250.0,-688.78,98.69
-1250.0,-637.76,96.37
-1198.98,-637.76,96.04
-1147.96,-637.76,95.72
-1096.94,-637.76,95.41
-1045.92,-637.76,95.11
-994.9,-637.76,94.85
-943.88,-637.76,94.61
-892.86,-637.76,94.41
-841.84,-637.76,94.24
-790.82,-637.76,94.12
-739.8,-637.76,94.04
-688.78,-637.76,94.01
-637.76,-637.76,94.03
-586.73,-637.76,94.1
-535.71,-637.76,94.21
-484.69,-637.76,94.37
-433.67,-637.76,94.58
-382.65,-637.76,94.83
-331.63,-637.76,95.12
-280.61,-637.76,95.45
-229.59,-637.76,95.81
-178.57,-637.76,96.19
-127.55,-637.76,96.6
-76.53,-637.76,97.02
-25.51,-637.76,97.45
25.51,-637.76,97.88
76.53,-637.76,98.32
127.55,-637.76,98.74
178.57,-637.76,99.14
229.59,-637.76,99.53
280.61,-637.76,99.88
331.63,-637.76,100.21
382.65,-637.76,100.5
433.67,-637.76,100.75
484.69,-637.76,100.96
535.71,-637.76,101.12
586.73,-637.76,101.24
637.76,-637.76,101.31
688.78,-637.76,101.32
739.8,-637.76,101.29
790.82,-637.76,101.21
841.84,-637.76,101.09
892.86,-637.76,100.93
943.88,-637.76,100.73
994.9,-637.76,100.49
1045.92,-637.76,100.22
1096.94,-637.76,99.93
1147.96,-637.76,99.62
1198.98,-637.76,99.3
1250.0,-637.76,98.97
-1250.0,-586.73,96.64
-1198.98,-586.73,96.31
-1147.96,-586.73,95.99
-1096.94,-586.73,95.68
-1045.92,-586.73,95.39
-994.9,-586.73,95.12
-943.88,-586.73,94.88
-892.86,-586.73,94.68
-841.84,-586.73,94.52
-790.82,-586.73,94.39
-739.8,-586.73,94.32
-688.78,-586.73,94.29
-637.76,-586.73,94.3
-586.73,-586.73,94.37
-535.71,-586.73,94.49
-484.69,-586.73,94.65
-433.67,-586.73,94.86
-382.65,-586.73,95.11
-331.63,-586.73,95.4
-280.61,-586.73,95.72
-229.59,-586.73,96.08
-178.57,-586.73,96.47
-127.55,-586.73,96.87
-76.53,-586.73,97.29
-25.51,-586.73,97.72
25.51,-586.73,98.16
76.53,-586.73,98.59
127.55,-586.73,99.01
178.57,-586.73,99.41
229.59,-586.73,99.8
280.61,-586.73,100.16
331.63,-586.73,100.48
382.65,-586.73,100.78
433.67,-586.73,101.03
484.69,-586.73,101.23
535.71,-586.73,101.4
586.73,-586.73,101.51
637.76,-586.73,101.58
688.78,-586.73,101.6
739.8,-586.73,101.56
790.82,-586.73,101.49
841.84,-586.73,101.37
892.86,-586.73,101.2
943.88,-586.73,101.0
994.9,-586.73,100.76
1045.92,-586.73,100.5
1096.94,-586.73,100.2
1147.96,-586.73,99.89
1198.98,-586.73,99.57
1250.0,-586.73,99.24
-1250.0,-535.71,96.91
-1198.98,-535.71,96.58
-1147.96,-535.71,96.25
-1096.94,-535.71,95.94
-1045.92,-535.71,95.65
-994.9,-535.71,95.39
-943.88,-535.71,95.15
-892.86,-535.71,94.95
-841.84,-535.71,94.78
-790.82,-535.71,94.66
-739.8,-535.71,94.58
-688.78,-535.71,94.55
-637.76,-535.71,94.57
-586.73,-535.71,94.64
-535.71,-535.71,94.75
-484.69,-535.71,94.91
-433.67,-535.71,95.12
-382.65,-535.71,95.37
-331.63,-535.71,95.66
-280.61,-535.71,95.99
-229.59,-535.71,96.35
-178.57,-535.71,96.73
-127.55,-535.71,97.14
-76.53,-535.71,97.56
-25.51,-535.71,97.99
25.51,-535.71,98.42
76.53,-535.71,98.85
127.55,-535.71,99.27
178.57,-535.71,99.68
229.59,-535.71,100.07
280.61,-535.71,100.42
331.63,-535.71,100.75
382.65,-535.71,101.04
433.67,-535.71,101.29
484.69,-535.71,101.5
535.71,-535.71,101.66
586.73,-535.71,101.78
637.76,-535.71,101.84
688.78,-535.71,101.86
739.8,-535.71,101.83
790.82,-535.71,101.75
841.84,-535.71,101.63
892.86,-535.71,101.47
943.88,-535.71,101.26
994.9,-535.71,101.03
1045.92,-535.71,100.76
1096.94,-535.71,100.47
1147.96,-535.71,100.16
1198.98,-535.71,99.84
1250.0,-535.71,99.51
-1250.0,-484.69,97.16
-1198.98,-484.69,96.83
-1147.96,-484.69,96.51
-1096.94,-484.69,96.2
-1045.92,-484.69,95.91
-994.9,-484.69,95.64
-943.88,-484.69,95.41
-892.86,-484.69,95.2
-841.84,-484.69,95.04
-790.82,-484.69,94.92
-739.8,-484.69,94.84
-688.78,-484.69,94.81
-637.76,-484.69,94.83
-586.73,-484.69,94.89
-535.71,-484.69,95.01
-484.69,-484.69,95.17
-433.67,-484.69,95.38
-382.65,-484.69,95.63
-331.63,-484.69,95.92
-280.61,-484.69,96.25
-229.59,-484.69,96.6
-178.57,-484.69,96.99
-127.55,-484.69,97.4
-76.53,-484.69,97.82
-25.51,-484.69,98.25
25.51,-484.69,98.68
76.53,-484.69,99.11
127.55,-484.69,99.53
178.57,-484.69,99.94
229.59,-484.69,100.32
280.61,-484.69,100.68
331.63,-484.69,101.01
382.65,-484.69,101.3
433.67,-484.69,101.55
484.69,-484.69,101.76
535.71,-484.69,101.92
586.73,-484.69,102.03
637.76,-484.69,102.1
688.78,-484.69,102.12
739.8,-484.69,102.09
790.82,-484.69,102.01
841.84,-484.69,101.89
892.86,-484.69,101.72
943.88,-484.69,101.52
994.9,-484.69,101.28
1045.92,-484.69,101.02
1096.94,-484.69,100.73
1147.96,-484.69,100.42
1198.98,-484.69,100.09
1250.0,-484.69,99.76
-1250.0,-433.67,97.41
-1198.98,-433.67,97.08
-1147.96,-433.67,96.75
-1096.94,-433.67,96.44
-1045.92,-433.67,96.15
-994.9,-433.67,95.89
-943.88,-433.67,95.65
-892.86,-433.67,95.45
-841.84,-433.67,95.28
-790.82,-433.67,95.16
-739.8,-433.67,95.08
-688.78,-433.67,95.05
-637.76,-433.67,95.07
-586.73,-433.67,95.14
-535.71,-433.67,95.25
-484.69,-433.67,95.41
-433.67,-433.67,95.62
-382.65,-433.67,95.87
-331.63,-433.67,96.16
-280.61,-433.67,96.49
-229.59,-433.67,96.85
-178.57,-433.67,97.23
-127.55,-433.67,97.64
-76.53,-433.67,98.06
-25.51,-433.67,98.49
25.51,-433.67,98.92
76.53,-433.67,99.35
127.55,-433.67,99.78
178.57,-433.67,100.18
229.59,-433.67,100.57
280.61,-433.67,100.92
331.63,-433.67,101.25
382.65,-433.67,101.54
433.67,-433.67,101.79
484.69,-433.67,102.0
535.71,-433.67,102.16
586.73,-433.67,102.28
637.76,-433.67,102.34
688.78,-433.67,102.36
739.8,-433.67,102.33
790.82,-433.67,102.25
841.84,-433.67,102.13
892.86,-433.67,101.97
943.88,-433.67,101.77
994.9,-433.67,101.53
1045.92,-433.67,101.26
1096.94,-433.67,100.97
1147.96,-433.67,100.66
1198.98,-433.67,100.34
1250.0,-433.67,100.01
-1250.0,-382.65,97.64
-1198.98,-382.65,97.31
-1147.96,-382.65,96.98
-1096.94,-382.65,96.67
-1045.92,-382.65,96.38
-994.9,-382.65,96.12
-943.88,-382.65,95.88
-892.86,-382.65,95.68
-841.84,-382.65,95.51
-790.82,-382.65,95.39
-739.8,-382.65,95.31
-688.78,-382.65,95.28
-637.76,-382.65,95.3
-586.73,-382.65,95.37
-535.71,-382.65,95.48
-484.69,-382.65,95.64
-433.67,-382.65,95.85
-382.65,-382.65,96.1
-331.63,-382.65,96.39
-280.61,-382.65,96.72
-229.59,-382.65,97.08
-178.57,-382.65,97.46
-127.55,-382.65,97.87
-76.53,-382.65,98.29
-25.51,-382.65,98.72
25.51,-382.65,99.15
76.53,-382.65,99.58
127.55,-382.65,100.0
178.57,-382.65,100.41
229.59,-382.65,100.8
280.61,-382.65,101.15
331.63,-382.65,101.48
382.65,-382.65,101.77
433.67,-382.65,102.02
484.69,-382.65,102.23
535.71,-382.65,102.39
586.73,-382.65,102.51
637.76,-382.65,102.57
688.78,-382.65,102.59
739.8,-382.65,102.56
790.82,-382.65,102.48
841.84,-382.65,102.36
892.86,-382.65,102.2
943.88,-382.65,101.99
994.9,-382.65,101.76
1045.92,-382.65,101.49
1096.94,-382.65,101.2
1147.96,-382.65,100.89
1198.98,-382.65,100.57
1250.0,-382.65,100.24
-1250.0,-331.63,97.85
-1198.98,-331.63,97.52
-1147.96,-331.63,97.2
-1096.94,-331.63,96.89
-1045.92,-331.63,96.6
-994.9,-331.63,96.33
-943.88,-331.63,96.09
-892.86,-331.63,95.89
-841.84,-331.63,95.72
-790.82,-331.63,95.6
-739.8,-331.63,95.53
-688.78,-331.63,95.49
-637.76,-331.63,95.51
-586.73,-331.63,95.58
-535.71,-331.63,95.69
-484.69,-331.63,95.86
-433.67,-331.63,96.06
-382.65,-331.63,96.31
-331.63,-331.63,96.61
-280.61,-331.63,96.93
-229.59,-331.63,97.29
-178.57,-331.63,97.68
-127.55,-331.63,98.08
-76.53,-331.63,98.5
-25.51,-331.63,98.93
25.51,-331.63,99.37
76.53,-331.63,99.8
127.55,-331.63,100.22
178.57,-331.63,100.62
229.59,-331.63,101.01
280.61,-331.63,101.37
331.63,-331.63,101.69
382.65,-331.63,101.98
433.67,-331.63,102.23
484.69,-331.63,102.44
535.71,-331.63,102.61
586.73,-331.63,102.72
637.76,-331.63,102.79
688.78,-331.63,102.8
739.8,-331.63,102.77
790.82,-331.63,102.7
841.84,-331.63,102.57
892.86,-331.63,102.41
943.88,-331.63,102.21
994.9,-331.63,101.97
1045.92,-331.63,101.7
1096.94,-331.63,101.41
1147.96,-331.63,101.1
1198.98,-331.63,100.78
1250.0,-331.63,100.45
-1250.0,-280.61,98.04
-1198.98,-280.61,97.71
-1147.96,-280.61,97.39
-1096.94,-280.61,97.08
-1045.92,-280.61,96.79
-994.9,-280.61,96.52
-943.88,-280.61,96.29
-892.86,-280.61,96.08
-841.84,-280.61,95.92
-790.82,-280.61,95.8
-739.8,-280.61,95.72
-688.78,-280.61,95.69
-637.76,-280.61,95.71
-586.73,-280.61,95.77
-535.71,-280.61,95.89
-484.69,-280.61,96.05
-433.67,-280.61,96.26
-382.65,-280.61,96.51
-331.63,-280.61,96.8
-280.61,-280.61,97.13
-229.59,-280.61,97.48
-178.57,-280.61,97.87
-127.55,-280.61,98.27
-76.53,-280.61,98.7
-25.51,-280.61,99.13
25.51,-280.61,99.56
76.53,-280.61,99.99
127.55,-280.61,100.41
178.57,-280.61,100.82
229.59,-280.61,101.2
280.61,-280.61,101.56
331.63,-280.61,101.89
382.65,-280.61,102.18
433.67,-280.61,102.43
484.69,-280.61,102.64
535.71,-280.61,102.8
586.73,-280.61,102.91
637.76,-280.61,102.98
688.78,-280.61,103.0
739.8,-280.61,102.97
790.82,-280.61,102.89
841.84,-280.61,102.77
892.86,-280.61,102.6
943.88,-280.61,102.4
994.9,-280.61,102.16
1045.92,-280.61,101.9
1096.94,-280.61,101.61
1147.96,-280.61,101.3
1198.98,-280.61,100.97
1250.0,-280.61,100.64
-1250.0,-229.59,98.22
-1198.98,-229.59,97.89
